id,user_id,subject_id,day,period,start_time,end_time,room,department,semester
6a9d1589-ebdc-48d3-80f2-1a70c47b0a36,d2b75637-ca0f-4886-b38e-622eee3277af,1fa0b4de-2eff-4eaf-babe-f07f1a754523,Thursday,4,11:05:00,12:00:00,CR 5,,
3c0fab4c-d82d-42cf-8529-90e58a9fdace,d2b75637-ca0f-4886-b38e-622eee3277af,1fa0b4de-2eff-4eaf-babe-f07f1a754523,Thursday,7,14:55:00,15:45:00,CR 5,,
37e77e2b-e253-4721-931b-d23fc41e3aef,a46113b2-b8bb-4498-9d23-89c29d559d00,58b37013-6bac-438b-a0be-376071de191b,Friday,1,08:00:00,08:55:00,CR 5,,
110327d6-cf32-4d50-a916-b0f8c14abd98,a46113b2-b8bb-4498-9d23-89c29d559d00,58b37013-6bac-438b-a0be-376071de191b,Friday,2,08:55:00,09:50:00,CR 5,,
d5c85386-48d9-4a48-8b81-b22562a4fd18,a46113b2-b8bb-4498-9d23-89c29d559d00,7f4a7e05-db7d-4929-9568-dd56e4bf7375,Friday,3,10:10:00,11:05:00,CR 5,,
cf2a336c-50aa-4fbc-b28b-50a8add8126d,a46113b2-b8bb-4498-9d23-89c29d559d00,b0b6e8eb-ea89-4a83-9aca-ec9469cc64a9,Friday,4,11:05:00,12:00:00,CR 5,,
4e5da629-cfb6-4bf4-8580-ccece73c2600,a46113b2-b8bb-4498-9d23-89c29d559d00,57d33bf5-4eb1-4b37-8dd9-78f740522f62,Friday,5,13:00:00,13:50:00,IoT Lab,,
6ee08774-6f12-4403-ac9c-782614b18c70,a46113b2-b8bb-4498-9d23-89c29d559d00,57d33bf5-4eb1-4b37-8dd9-78f740522f62,Friday,6,13:50:00,14:40:00,IoT Lab,,
9b4a7524-0f78-4b66-bf74-1845e0179ac2,a46113b2-b8bb-4498-9d23-89c29d559d00,65d90220-c7d9-4c0f-a544-5ab7daea523a,Friday,7,14:55:00,15:45:00,CR 5,,
a0c6c1b6-1e4b-40ca-a139-22a70daf7a09,a46113b2-b8bb-4498-9d23-89c29d559d00,58b37013-6bac-438b-a0be-376071de191b,Saturday,1,08:00:00,08:55:00,CR 5,,
c8ef0634-6e15-4168-92cd-566a7b94f847,a46113b2-b8bb-4498-9d23-89c29d559d00,4f2f9702-6265-4603-966f-b9b53fd94621,Saturday,2,08:55:00,09:50:00,CR 5,,
af145178-6fb0-4598-b7dd-cc87fea67c14,a46113b2-b8bb-4498-9d23-89c29d559d00,b0b6e8eb-ea89-4a83-9aca-ec9469cc64a9,Saturday,3,10:10:00,11:05:00,CR 5,,
3e4a95a4-905c-497b-9e1b-eb56428ec973,a46113b2-b8bb-4498-9d23-89c29d559d00,5b471020-4d34-4294-8441-c5d82df4daa2,Saturday,4,11:05:00,12:00:00,CR 5,,
e69f6fbb-6c99-4d47-aff1-44b73f9b2d6c,a46113b2-b8bb-4498-9d23-89c29d559d00,7f4a7e05-db7d-4929-9568-dd56e4bf7375,Saturday,5,13:00:00,13:50:00,CR 5,,
06a147c9-dad2-4d01-afea-48188a22387b,a46113b2-b8bb-4498-9d23-89c29d559d00,4e1e87b4-7101-4a5d-8c15-61caddc35ffb,Saturday,6,13:50:00,14:40:00,CR 5,,
5ff90fa2-0f1e-4936-9ac9-23c53f3c1d71,a46113b2-b8bb-4498-9d23-89c29d559d00,65d90220-c7d9-4c0f-a544-5ab7daea523a,Saturday,7,14:55:00,15:45:00,CR 5,,
a76d3591-e624-4a99-b447-6f645e180b15,a46113b2-b8bb-4498-9d23-89c29d559d00,5b471020-4d34-4294-8441-c5d82df4daa2,Thursday,4,11:05:00,12:00:00,CR 5,,
1ba5b9c4-2caf-412c-ac32-2b41aebaec2b,a46113b2-b8bb-4498-9d23-89c29d559d00,5b471020-4d34-4294-8441-c5d82df4daa2,Thursday,7,14:55:00,15:45:00,CR 5,,
e30ed293-e2b7-462e-b57c-9a5d23bb8fdc,,b7f32899-c477-408e-aab5-bbf99ff7c5c3,Thursday,4,11:05:00,12:00:00,CR 5,E02,5
518876dc-b86b-4d5a-ae95-0db1448ee704,,b7f32899-c477-408e-aab5-bbf99ff7c5c3,Thursday,7,14:55:00,15:45:00,CR 5,E02,5
df9ce685-7d9d-4707-8911-22dcd2f46917,a46113b2-b8bb-4498-9d23-89c29d559d00,fe5f9e58-1088-45a9-bfdf-fc8039119934,Monday,1,08:00:00,08:55:00,CR 5,,
902774c0-fc75-485d-825d-efe045fc612c,a46113b2-b8bb-4498-9d23-89c29d559d00,fe5f9e58-1088-45a9-bfdf-fc8039119934,Monday,2,08:55:00,09:50:00,CR 5,,
